S/N		Words               		Frequency
1245		arming              		5
1246		armipotent          		2
1247		armor               		3
1248		armour              		41
1249		armourer            		7
1250		armourer's          		1
1251		armourers           		2
1252		armours             		3
1253		armoury             		3
1254		arms                		248
1255		arms'               		1
1256		army                		96
1257		army's              		1
1258		arn                 		3
1259		aroint              		3
1260		arose               		3
1261		arouse              		1
1262		aroused             		1
1263		arragon             		10
1264		arraign             		6
1265		arraigned           		1
1266		arraigning          		1
1267		arraignment         		1
1268		arrant              		16
1269		arras               		14
1270		array               		14
1271		array'd             		2
1272		arrearages          		1
1273		arrest              		27
1274		arrested            		12
1275		arrests             		2
1276		arriv'd             		18
1277		arrival             		6
1278		arrivance           		1
1279		arrive              		5
1280		arrived             		7
1281		arrives             		2
1282		arriving            		1
1283		arrogance           		6
1284		arrogancy           		1
1285		arrogant            		4
1286		arrow               		8
1287		arrows              		13
1288		art                 		915
1289		art's               		1
1290		artemidorus         		7
1291		arteries            		1
1292		arthur              		61
1293		arthur's            		13
1294		article             		18
1295		articles            		19
1296		articulate          		2
1297		artificer           		1
1298		artificial          		6
1299		artillery           		5
1300		artire              		1
1301		artist              		1
1302		artists             		1
1303		artless             		1
1304		artois              		1
1305		arts                		13
1306		arts-man            		1
1307		artus               		1
1308		arviragus           		63
1309		as                  		5974
1310		as's                		1
1311		as't                		4
1312		as-is               		2
1313		as-though           		1
1314		asaph               		1
1315		ascanius            		1
1316		ascend              		12
1317		ascended            		2
1318		ascendeth           		1
1319		ascends             		5
1320		ascension           		1
1321		ascension-day       		4
1322		ascent              		1
1323		ascii               		6
1324		ascribe             		3
1325		ascribes            		1
1326		ash                 		2
1327		asham'd             		26
1328		ashamed             		7
1329		asher               		1
1330		ashes               		19
1331		ashford             		2
1332		ashore              		11
1333		ashouting           		1
1334		ashy                		1
1335		asia                		4
1336		aside               		466
1337		ask                 		162
1338		ask'd               		27
1339		ask'd-but           		1
1340		ask'st              		2
1341		askance             		2
1342		asked               		4
1343		asker               		1
1344		asketh              		2
1345		asking              		12
1346		asks                		2
1347		aslant              		1
1348		asleep              		60
1349		asmath              		1
1350		asp                 		3
1351		aspect              		26
1352		aspects             		4
1353		aspen               		2
1354		aspersion           		1
1355		aspic               		2
1356		aspic's             		1
1357		aspicious           		1
1358		aspics'             		1
1359		aspir'd             		2
1360		aspiration          		1
1361		aspire              		4
1362		aspiring            		6
1363		asquint             		1
1364		ass                 		89
1365		ass's               		3
1366		ass-head            		2
1367		assail              		5
1368		assail'd            		2
1369		assailable          		1
1370		assailant           		1
1371		assailants          		1
1372		assailed            		4
1373		assaileth           		1
1374		assailing           		2
1375		assails             		2
1376		assassination       		1
1377		assault             		16
1378		assaulted           		2
1379		assaults            		3
1380		assay               		15
1381		assay'd             		3
1382		assaying            		1
1383		assays              		3
1384		assemblance         		1
1385		assemble            		7
1386		assembled           		10
1387		assemblies          		2
1388		assembly            		15
1389		assent              		2
1390		asses               		9
1391		assez               		1
1392		assign              		3
1393		assign'd            		4
1394		assigned            		1
1395		assigns             		2
1396		assinico            		1
1397		assist              		20
1398		assistance          		15
1399		assistances         		1
1400		assistant           		4
1401		assistants          		2
1402		assisted            		3
1403		assisting           		1
1404		associate           		1
1405		associated          		9
1406		associates          		1
1407		association         		1
1408		assuage             		2
1409		assubjugate         		1
1410		assum'd             		1
1411		assume              		13
1412		assumes             		2
1413		assur'd             		37
1414		assurance           		29
1415		assure              		50
1416		assured             		16
1417		assuredly           		4
1418		assures             		1
1419		assyrian            		2
1420		asterisk            		1
1421		astonish            		3
1422		astonish'd          		3
1423		astonished          		1
1424		astraea's           		1
1425		astray              		2
1426		astrea              		1
1427		astronomer          		1
1428		astronomers         		1
1429		astronomical        		1
1430		astronomy           		1
1431		asunder             		15
1432		at                  		2522
1433		at's                		3
1434		atalanta's          		2
1435		ate                 		3
1436		ates                		2
1437		athenian            		35
1438		athenian's          		3
1439		athenians           		4
1440		athens              		71
1441		athens'             		1
1442		athol               		1
1443		athversary          		3
1444		athwart             		8
1445		atlas               		1
1446		atomies             		3
1447		atomy               		1
1448		atone               		7
1449		atonement           		2
1450		atonements          		1
1451		atropos             		1
1452		attach              		10
